"Timestamp","How would you rate the guest lecture overall?","This lecture helped me better understand the topic of attention","How engaging did you find the lecture?","Instructions and explanations were easy to follow","The examples (videos and demonstration) helped me understand the material.","The pacing of the lecture was:","What part of the lecture did you find most helpful or interesting/what worked best for you?","What helped keep your attention during the lecture?","What could be improved for future guest lectures?","What would you like to see more of in future lectures?","Any additional feedback or suggestions?"
"2026/02/03 3:05:34 PM PST","5","5","5","5","5","4","The demonstrations ","Interesting topics","Slower pace ","More real-world applications","N/A"
"2026/02/03 3:05:37 PM PST","5","5","5","5","5","5","Nothing specific, but it was great","The fun examples","Nothing much!","More discussion",""
"2026/02/03 3:05:45 PM PST","4","3","4","5","4","4","i liked the game videos ","the videos ","more time on the slides with the information ","More discussion",""
"2026/02/03 3:06:15 PM PST","4","4","5","2","5","5","I liked how she put in videos of examples and engaged us and encouraged us to interact with each other and the videos. ","The videos ","The pace, she talked a little too fast","More examples",""
"2026/02/03 3:06:27 PM PST","4","5","4","5","5","3","The videos","The speed at which the topics were covered.","Nothing","More real-world applications",""
"2026/02/03 3:07:17 PM PST","5","4","5","5","5","4","I really found the interactive example/activities after teaching some of the material very beneficial!","Definitely the fun videos! ","Maybe having the microphone on a bit louder or having less information on each slide!","More real-world applications",""
"2026/02/03 3:07:41 PM PST","4","5","5","5","4","3","I liked the simple way of giving the explanation and showing a video.","The videos were interesting and there was a lot of people interested.","Maybe they can be longer","It was great as is","You did great!"
"2026/02/03 3:07:47 PM PST","5","5","5","4","5","3","The video examples really helped me engage and understand the subject better.","The video lectures, and taking notes.","Maybe go over points in the slide a little slower, overall it was really good.","It was great as is",""
"2026/02/03 3:07:48 PM PST","4","5","4","5","5","3","I enjoyed the videos being very engaging. ","The videos, it felt like we were being engaged more than usual. ","I feel that the slides need to be on for a little longer, especially because this lecture was specifically for the exam. ","More examples",""
"2026/02/03 3:08:58 PM PST","4","4","4","3","4","3","Having multimedia sources while talking ","Videos ","Slowing down the pace","More discussion","You did great!"
"2026/02/03 3:09:03 PM PST","5","5","5","5","5","3","The videos ","The instructor","Nothing","It was great as is","Please lecture instead of professor bala "
"2026/02/03 3:09:16 PM PST","3","5","2","3","5","5","Video examples","Being able to engage and learn “hands on”","Nothing was explained well and the lecture moved extremely quick with no time to take notes. There was also excessive use of filler words “um, like, etc.”. However I have immense sympathy as it was her first guest lecture and to that I applaud her","More discussion",""
"2026/02/03 3:09:36 PM PST","4","4","5","4","5","4","I really liked the video examples. ","The videos and pictures.","Going a little slower.","More discussion","Nope! "
"2026/02/03 3:09:44 PM PST","4","4","4","4","5","5","The videos were most helpful to give a specific example of the topics ","The interactive videos","Longer explanations and more time on each slide","More discussion",""
"2026/02/03 3:11:50 PM PST","3","3","3","3","5","5","The video with the gorilla","The interactive examples/videos","Slow down the pace","More examples",""
"2026/02/03 3:12:51 PM PST","5","5","5","5","5","3","The usage of video examples","The variety utilized during the lecture","The pacing was the only issue, and it was a very small one","It was great as is","AMAZING JOB"
"2026/02/03 3:14:32 PM PST","4","3","4","4","5","3","I loved watching the videos explaining change blindness, they were so interesting!","Video examples, Isha explaining concepts more in-depth than on the slides","The tech issues with projection were a bit much, but that’s not Isha’s fault! Technology is just frustrating sometimes.","More real-world applications","Nope! Thank you for being a guest lecturer, Isha! You did a great job!!!"
"2026/02/03 3:17:10 PM PST","5","5","5","5","5","5","The example videos ","The video engagement","Nothing","More examples","No"
"2026/02/03 3:19:44 PM PST","5","5","5","5","5","4","I appreciated how engaging and appropriate the material was. As much as I love psychology, not everyone finds it fun to learn about. This lecture was a really fun way to explore our topics!","I could tell how hard you were fighting through the nerves of being up there, so I wanted to give you my upmost respect and attention. If a class of mostly freshman doesn’t want to listen, there’s nothing you can do to change that but my peers seemed very intrigued. ","It seems like Dr. Bala’s programming might’ve given you a little issues trying to get videos to play; everything else was perfect!","It was great as is","So proud of you stranger! I admire your courage doing that, and you presented incredibly well!"
"2026/02/03 3:31:21 PM PST","5","4","5","5","5","5","I liked her videos to provide examples","her loud voice","Going a little bit slower","More discussion",""
"2026/02/03 3:31:38 PM PST","4","4","3","4","4","2","The video explanations were helpful","Asking the audience questions","Slowing the pace of the definition on slides","More examples",""
"2026/02/03 3:37:46 PM PST","3","3","4","4","5","4","The video examples and the demonstrations ","The guest speaker ","The pace (it was a little too fast)","More real-world applications",""
"2026/02/03 3:40:18 PM PST","5","5","5","5","5","3","The video examples really helped me to understand the concepts.","The interactive video examples.","The pacing was a bit fast.","More real-world applications",""
"2026/02/03 3:57:45 PM PST","3","4","4","5","5","3","Everything! Your explanation for the topic was very clear and straightforward. I was able to understand your lecture better than the professor only because of the way you explained the concept.","The demonstrations and videos.","Maybe slow down with changing slides","It was great as is",""
"2026/02/03 4:04:41 PM PST","4","4","4","5","5","4","I think the video and explaining how those videos are related to our coursework","I would say the videos","Maybe just slow pace by a bit","It was great as is",""
"2026/02/03 4:09:04 PM PST","4","5","4","5","5","4","I liked the videos with experiments. it was fun!","the concepts themselves were interesting.","slow down? I couldn't get much notes down","More real-world applications",""
"2026/02/03 4:17:30 PM PST","4","4","4","3","4","4","I liked how interactive it was ","being interactive ","I say the speed. she did great I just think it went too quick ","More real-world applications",""
"2026/02/03 4:23:19 PM PST","4","4","4","4","5","3","The videos really helped.","Also the videos.","Maybe go through the lecture more slowly. ","More real-world applications",""
"2026/02/03 4:58:47 PM PST","5","5","5","4","4","4","The intentional blindness section was the most helpful and interesting ","The engaging videos/pictures that she had us do then respond to our peers with.","N/A","More examples","I would love if they way this unit was taught (all the examples, videos, and engaging illusions) would be applied into future units as well!"
"2026/02/03 5:37:26 PM PST","5","5","4","5","5","3","I really liked the videos, they were good visual representation of the concepts we learned. ","The videos were interesting and engaging. ","Slowing down the pacing would be helpful.","More discussion",""
"2026/02/03 5:42:19 PM PST","4","2","4","4","2","4","I think having us participate in the different videos really helped portray the different illusions or patterns our brain can create when we focus our attention on one particular thing. ","When we were asked questions or asked to raise our hands to answer questions asked by Isha. ","I think maybe having less text on each slide would help separate the concepts a bit and help create distinct associations between each idea and slide. ","More real-world applications","Amazing job for your first guest lecture! Well done! "
"2026/02/03 5:53:37 PM PST","4","4","5","3","5","4","The videos","The videos","A little more description outside the videos.","More discussion",""
"2026/02/03 6:40:46 PM PST","4","4","4","5","5","3","I liked the tone of voice and the pace, it was easy to follow and she was very clear.","The volume of the lecture and her pacing made it easy to pay attention ","Not sure","It was great as is",""
"2026/02/03 7:16:59 PM PST","3","3","4","3","5","4","Videos and examples ","Interactive activities","The pace was a little quick. It felt more like a discussion than new material. If I was unaware of the material/concepts it would have been hard to follow.","More theory",""
"2026/02/03 7:42:02 PM PST","5","5","5","4","5","4","The amount of interactive material","The pacing","Maybe just a little more preparation ","More real-world applications","No"
"2026/02/03 7:56:20 PM PST","5","5","5","4","5","4","The videos shown in the lecture helped me understand how attention works.","Having interactive activities such as the videos.","Lecture can be improved in the guest speaker took a bit more time on each slide to allow us to understand the topic enough and also take good notes.","More real-world applications",""
"2026/02/03 8:00:13 PM PST","5","5","5","5","5","4","I liked that it was a change of pace from the usual lecture.","the videos","maybe the volume ","More theory",""
"2026/02/03 8:02:44 PM PST","4","5","5","5","5","5","I thought it was helpful that Isha was very enthusiastic about what she was talking about","The variety of videos","Slowing down just a little bit","More discussion","Great job for a first lecture, it was really impressive and brave"
"2026/02/03 9:08:45 PM PST","4","4","4","4","5","5","Understanding and engaging with the videos","Listening to the lecture","Slowing down to let the students take notes","It was great as is","Be confident!"
"2026/02/03 9:36:44 PM PST","5","5","5","5","5","4","I liked the videos and visuals.","I feel like it was very engaging when topics were covered and then video examples were shown.","Maybe moving past slides a little slower so we could take notes on the slides.","More examples","No :)"
"2026/02/03 9:45:49 PM PST","5","3","4","3","4","4","The energy was very well.","The pacing with vibe","slow down a little and go over the slide content more","It was great as is",""
"2026/02/03 10:15:46 PM PST","4","3","4","4","4","4","I liked the videos the best","The videos that asked us to spot the difference","Going a little slower on the concepts ","More discussion",""
"2026/02/03 10:21:22 PM PST","5","5","5","5","4","3","The explanations were the most helpful.","The explanations helped to keep my attention during the lecture.","For improvement for future guest lectures there being more information for the examples would help.","More real-world applications","For future lectures more theory would help."
"2026/02/03 10:37:48 PM PST","5","5","5","5","5","3","Real world applications","Videos","Nothing :)","It was great as is",""
"2026/02/04 1:01:13 AM PST","5","5","5","5","5","3","The videos and how interactice the lecture was not only kept me awake, but also entertained in the topics.","The videos were incredibly good at grabbing my attention. I was looking forward to them.","More time for guest lectures, they could express more ideas and have more time for questions and examples!","More real-world applications",""
"2026/02/04 8:20:47 AM PST","4","4","4","5","5","3","Most helpful: The video applications and lecture explanations. ","The video applications because they were the most tangible. ","N/A ","More real-world applications",""
"2026/02/04 9:15:25 AM PST","5","5","5","5","5","5","I found the videos to be interesting and seeing them applied to more real life situations ","The videos being interactive, allowing us to see how each of our peers perceived the videos, etc","N/A","More real-world applications",""
"2026/02/04 12:08:46 PM PST","4","5","5","5","5","3","I thought it was helpful that you had a lot of examples to show in order to supplement the lecture.","The videos/experiments were very entertaining.","Nothing major comes to mind!","More real-world applications",""
"2026/02/04 12:09:56 PM PST","5","5","5","4","5","5","upbeat attitude, confidence, as we as the interactive examples ","videos, examples, and. vibes","just the pace was sort of fast and a bit wordy, I think dumbing it down a bit would be beneficial ","More real-world applications","YOU DID A FIRE JOB "
"2026/02/04 12:11:16 PM PST","4","4","4","4","4","4","the examples","the ways the audience were also apart of the lecture as in they also played a role","maybe more louder","More real-world applications",""
"2026/02/04 1:55:45 PM PST","5","5","5","5","5","4","The examples","The engaging examples","Talk more clearly","It was great as is",""
"2026/02/04 2:00:28 PM PST","4","4","5","3","4","5","I liked the use of videos, it kept me engaged. ","The videos","I would just say go a little slower, talk about how the topics connect to the video. ","More real-world applications",""
"2026/02/04 10:20:47 PM PST","4","4","5","4","4","5","I enjoyed the videos","I appreciated the active engagement ","I thought it was pretty good!","It was great as is",""
"2026/02/05 7:35:44 AM PST","5","5","5","5","5","5","Reading about change blindness I thought no way I wouldn’t notice a completely different person but watching the videos I missed most of the changes! It really grounded my understanding. ","Your mix of lecture and videos. ","Go a little slower. I couldn’t take notes during your portion but you did an amazing job for your first time!","More real-world applications","So sweet we were a part of your first lecture. Can’t wait to see what you have ahead of you!"
"2026/02/05 12:37:59 PM PST","3","3","3","4","4","3","having visual things to learn with made it easier and more inclusive thus making the overall experience better","my honest anwser my snack I had, but also the videos that were being shared","using a louder more confident voice, your an amazing GE and you obviously have earned the postion you are in, don't be afraid to roar like a lion. Make people hear you. ","More real-world applications",""
"2026/02/06 10:09:26 AM PST","4","5","4","4","4","4","The part with gorilla walking through the group of people.","The pacing was strong and concepts were interesting.","I'm not 100% sure, sorry.","More discussion","I really liked it.  Keep up the good work."
"2026/02/06 12:42:15 PM PST","2","2","1","2","1","3","N/A","Not much, was doing my quiz","Too much text on the slides, and the fact that this lecture was before the midterm was horrible decision making.","More discussion","no"
"2026/02/08 10:21:06 PM PST","5","5","4","4","5","5"," "," "," ","More examples",""